,2024-12-31 00:00:00,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,Ticker,2024-06-30 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2024-05-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Net Non Operating Interest Income Expense,-53870000.0,-79100000.0,-44016000.0,-9980000.0,,0669.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,126165000.0,124056000.0,69868000.0,42008000.0,,0669.HK,,,,,,,,,,,,,,
Interest Income Non Operating,72295000.0,44956000.0,25852000.0,32028000.0,,0669.HK,,,,,,,,,,,,,,
Operating Income,1270295000.0,1134689000.0,1200910000.0,1191800000.0,,0669.HK,,,,,,,,,,,,,,
Operating Expense,4625261000.0,4284947000.0,4011667000.0,3929813000.0,,0669.HK,,,,,,,,,,,,,,
Research And Development,648103000.0,548338000.0,484343000.0,425699000.0,,0669.HK,,,,,,,,,,,,,,
Selling General And Administration,3993574000.0,3753429000.0,3540841000.0,3517106000.0,,0669.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,2503697000.0,2347219000.0,2191001000.0,2165373000.0,,0669.HK,,,,,,,,,,,,,,
General And Administrative Expense,1489877000.0,1406210000.0,1349840000.0,1351733000.0,,0669.HK,,,,,,,,,,,,,,
Gross Profit,5895556000.0,5419636000.0,5212577000.0,5121613000.0,,0669.HK,,,,,,,,,,,,,,
Cost Of Revenue,8726060000.0,8311775000.0,8041340000.0,8081548000.0,,0669.HK,,,,,,,,,,,,,,
Total Revenue,14621616000.0,13731411000.0,13253917000.0,13203161000.0,,0669.HK,,,,,,,,,,,,,,
Operating Revenue,14621616000.0,13731411000.0,13253917000.0,13203161000.0,,0669.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-1883419677.171407,12297459693.185871,11490137465.633593,5446359161.65802,0700.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.268255,0.102347,0.081641,0.110525,0700.HK,,,,,,,,,,,,,,
Normalized EBITDA,,239143000000.0,144007000000.0,164197000000.0,184188000000.0,0700.HK,,,,,,,,,,,,,,
Total Unusual Items,,-6926000000.0,137419000000.0,149453000000.0,54057000000.0,0700.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-7021000000.0,120154000000.0,140740000000.0,49277000000.0,0700.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,115216000000.0,188243000000.0,224822000000.0,159847000000.0,0700.HK,,,,,,,,,,,,,,
Reconciled Depreciation,,59008000000.0,61216000000.0,57670000000.0,50774000000.0,0700.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,315906000000.0,315806000000.0,314174000000.0,260532000000.0,0700.HK,,,,,,,,,,,,,,
EBITDA,,232217000000.0,281426000000.0,313650000000.0,238245000000.0,0700.HK,,,,,,,,,,,,,,
EBIT,,173209000000.0,220210000000.0,255980000000.0,187471000000.0,0700.HK,,,,,,,,,,,,,,
Net Interest Income,,1923000000.0,-1393000000.0,-1268000000.0,-492000000.0,0700.HK,,,,,,,,,,,,,,
Interest Expense,,11885000000.0,9985000000.0,7918000000.0,7449000000.0,0700.HK,,,,,,,,,,,,,,
Interest Income,,13808000000.0,8592000000.0,6650000000.0,6957000000.0,0700.HK,,,,,,,,,,,,,,
Normalized Income,,120448580322.8286,97651459693.18587,104285137465.63359,120796359161.65802,0700.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,115216000000.0,188243000000.0,224822000000.0,159847000000.0,0700.HK,,,,,,,,,,,,,,
Total Expenses,,443357000000.0,440612000000.0,437777000000.0,353993000000.0,0700.HK,,,,,,,,,,,,,,
Total Operating Income As Reported,,160074000000.0,110827000000.0,271620000000.0,184237000000.0,0700.HK,,,,,,,,,,,,,,
Diluted Average Shares,,9610000000.0,9695000000.0,9696000000.0,9650000000.0,0700.HK,,,,,,,,,,,,,,
Basic Average Shares,,9455000000.0,9528000000.0,9528000000.0,9490000000.0,0700.HK,,,,,,,,,,,,,,
Diluted EPS,,11.887,19.341,23.164,16.523,0700.HK,,,,,,,,,,,,,,
Basic EPS,,12.186,19.757,23.597,16.844,0700.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,114230000000.0,187503000000.0,224605000000.0,159444000000.0,0700.HK,,,,,,,,,,,,,,
Average Dilution Earnings,,-986000000.0,-740000000.0,-217000000.0,-403000000.0,0700.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,,115216000000.0,188243000000.0,224822000000.0,159847000000.0,0700.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,0700.HK,,,,,,,,,,,,,,
Net Income,,115216000000.0,188243000000.0,224822000000.0,159847000000.0,0700.HK,,,,,,,,,,,,,,
Minority Interests,,-2832000000.0,-466000000.0,-2988000000.0,-278000000.0,0700.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,118048000000.0,188709000000.0,227810000000.0,160125000000.0,0700.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,,118048000000.0,188709000000.0,227810000000.0,160125000000.0,0700.HK,,,,,,,,,,,,,,
Tax Provision,,43276000000.0,21516000000.0,20252000000.0,19897000000.0,0700.HK,,,,,,,,,,,,,,
Pretax Income,,161324000000.0,210225000000.0,248062000000.0,180022000000.0,0700.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,-5541000000.0,-8237000000.0,1229000000.0,-1833000000.0,0700.HK,,,,,,,,,,,,,,
Special Income Charges,,-4902000000.0,127904000000.0,93023000000.0,10368000000.0,0700.HK,,,,,,,,,,,,,,
Other Special Charges,,-1288000000.0,-172707000000.0,-118051000000.0,-21790000000.0,0700.HK,,,,,,,,,,,,,,
Write Off,,6095000000.0,27538000000.0,16315000000.0,6642000000.0,0700.HK,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,95000000.0,17265000000.0,,,0700.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,1923000000.0,-1393000000.0,-1268000000.0,-492000000.0,0700.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,,11885000000.0,9985000000.0,7918000000.0,7449000000.0,0700.HK,,,,,,,,,,,,,,
Interest Income Non Operating,,13808000000.0,8592000000.0,6650000000.0,6957000000.0,0700.HK,,,,,,,,,,,,,,
Operating Income,,165658000000.0,113940000000.0,122341000000.0,128071000000.0,0700.HK,,,,,,,,,,,,,,
Operating Expense,,127451000000.0,124806000000.0,123603000000.0,93461000000.0,0700.HK,,,,,,,,,,,,,,
Other Operating Expenses,,,5124000000.0,2050000000.0,,0700.HK,,,,,,,,,,,,,,
Selling General And Administration,,137736000000.0,135925000000.0,130441000000.0,101383000000.0,0700.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,,34211000000.0,29229000000.0,40594000000.0,33758000000.0,0700.HK,,,,,,,,,,,,,,
General And Administrative Expense,,103525000000.0,106696000000.0,89847000000.0,67625000000.0,0700.HK,,,,,,,,,,,,,,
Gross Profit,,293109000000.0,238746000000.0,245944000000.0,221532000000.0,0700.HK,,,,,,,,,,,,,,
Cost Of Revenue,,315906000000.0,315806000000.0,314174000000.0,260532000000.0,0700.HK,,,,,,,,,,,,,,
Total Revenue,,609015000000.0,554552000000.0,560118000000.0,482064000000.0,0700.HK,,,,,,,,,,,,,,
Operating Revenue,,609015000000.0,554552000000.0,560118000000.0,482064000000.0,0700.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-1222375000.0,-1506011560.132116,-1187375467.172421,-1621781992.887003,0762.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.175,0.182194,0.190774,0.215262,0762.HK,,,,,,,,,,,,,,
Normalized EBITDA,,116758000000.0,116743000000.0,111106000000.0,108190000000.0,0762.HK,,,,,,,,,,,,,,
Total Unusual Items,,-6985000000.0,-8266000000.0,-6224000000.0,-7534000000.0,0762.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-6985000000.0,-8266000000.0,-6224000000.0,-7534000000.0,0762.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,18726000000.0,16745000000.0,14368000000.0,12493000000.0,0762.HK,,,,,,,,,,,,,,
Reconciled Depreciation,,84847000000.0,86829000000.0,85652000000.0,83017000000.0,0762.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,110274000000.0,104359000000.0,97380000000.0,86466000000.0,0762.HK,,,,,,,,,,,,,,
EBITDA,,109773000000.0,108477000000.0,104882000000.0,100656000000.0,0762.HK,,,,,,,,,,,,,,
EBIT,,24926000000.0,21648000000.0,19230000000.0,17639000000.0,0762.HK,,,,,,,,,,,,,,
Net Interest Income,,69000000.0,637000000.0,-162000000.0,-335000000.0,0762.HK,,,,,,,,,,,,,,
Interest Expense,,1981000000.0,1060000000.0,1303000000.0,1612000000.0,0762.HK,,,,,,,,,,,,,,
Interest Income,,2105000000.0,1747000000.0,1215000000.0,1366000000.0,0762.HK,,,,,,,,,,,,,,
Normalized Income,,24488625000.0,23504988439.867886,19404624532.82758,18405218007.112995,0762.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,18726000000.0,16745000000.0,14368000000.0,12493000000.0,0762.HK,,,,,,,,,,,,,,
Total Expenses,,347188000000.0,330607000000.0,307139000000.0,282805000000.0,0762.HK,,,,,,,,,,,,,,
Diluted Average Shares,,30598000000.0,30598000000.0,30598000000.0,30598000000.0,0762.HK,,,,,,,,,,,,,,
Basic Average Shares,,30598000000.0,30598000000.0,30598000000.0,30598000000.0,0762.HK,,,,,,,,,,,,,,
Diluted EPS,,0.61,0.55,0.47,0.41,0762.HK,,,,,,,,,,,,,,
Basic EPS,,0.61,0.55,0.47,0.41,0762.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,18726000000.0,16745000000.0,14368000000.0,12493000000.0,0762.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,,18726000000.0,16745000000.0,14368000000.0,12493000000.0,0762.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,0762.HK,,,,,,,,,,,,,,
Net Income,,18726000000.0,16745000000.0,14368000000.0,12493000000.0,0762.HK,,,,,,,,,,,,,,
Minority Interests,,-196000000.0,-92000000.0,-139000000.0,-84000000.0,0762.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,18922000000.0,16837000000.0,14507000000.0,12577000000.0,0762.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,,18922000000.0,16837000000.0,14507000000.0,12577000000.0,0762.HK,,,,,,,,,,,,,,
Tax Provision,,4023000000.0,3751000000.0,3420000000.0,3450000000.0,0762.HK,,,,,,,,,,,,,,
Pretax Income,,22945000000.0,20588000000.0,17927000000.0,16027000000.0,0762.HK,,,,,,,,,,,,,,
Other Income Expense,,,,,2369000000.0,0762.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,-84000000.0,-30000000.0,117000000.0,324000000.0,0762.HK,,,,,,,,,,,,,,
Special Income Charges,,-7537000000.0,-8800000000.0,-7050000000.0,-7949000000.0,0762.HK,,,,,,,,,,,,,,
Gain On Sale Of Ppe,,,,,-2365000000.0,0762.HK,,,,,,,,,,,,,,
Other Special Charges,,1181000000.0,1882000000.0,3749000000.0,2365000000.0,0762.HK,,,,,,,,,,,,,,
Write Off,,6356000000.0,6918000000.0,3301000000.0,5584000000.0,0762.HK,,,,,,,,,,,,,,
Earnings From Equity Interest,,,,,2375000000.0,0762.HK,,,,,,,,,,,,,,
Gain On Sale Of Security,,,,,579000000.0,0762.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,69000000.0,637000000.0,-162000000.0,-335000000.0,0762.HK,,,,,,,,,,,,,,
Total Other Finance Cost,,55000000.0,50000000.0,74000000.0,89000000.0,0762.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,,1981000000.0,1060000000.0,1303000000.0,1612000000.0,0762.HK,,,,,,,,,,,,,,
Interest Income Non Operating,,2105000000.0,1747000000.0,1215000000.0,1366000000.0,0762.HK,,,,,,,,,,,,,,
Operating Income,,25409000000.0,24337000000.0,20715000000.0,21033000000.0,0762.HK,,,,,,,,,,,,,,
Operating Expense,,236914000000.0,226248000000.0,209759000000.0,196339000000.0,0762.HK,,,,,,,,,,,,,,
Other Operating Expenses,,85982000000.0,75511000000.0,61554000000.0,53956000000.0,0762.HK,,,,,,,,,,,,,,
Other Taxes,,,,,1353000000.0,0762.HK,,,,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,,,,,83017000000.0,0762.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,84847000000.0,86829000000.0,85652000000.0,83017000000.0,0762.HK,,,,,,,,,,,,,,
Depreciation Income Statement,,84847000000.0,86829000000.0,85652000000.0,83017000000.0,0762.HK,,,,,,,,,,,,,,
Selling General And Administration,,4141000000.0,4054000000.0,4222000000.0,4132000000.0,0762.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,,2130000000.0,2717000000.0,2682000000.0,2723000000.0,0762.HK,,,,,,,,,,,,,,
General And Administrative Expense,,2011000000.0,1337000000.0,1540000000.0,1409000000.0,0762.HK,,,,,,,,,,,,,,
Other Gand A,,,,,1409000000.0,0762.HK,,,,,,,,,,,,,,
Salaries And Wages,,,,,55740000000.0,0762.HK,,,,,,,,,,,,,,
Gross Profit,,262323000000.0,250585000000.0,230474000000.0,217372000000.0,0762.HK,,,,,,,,,,,,,,
Cost Of Revenue,,110274000000.0,104359000000.0,97380000000.0,86466000000.0,0762.HK,,,,,,,,,,,,,,
Total Revenue,,372597000000.0,354944000000.0,327854000000.0,303838000000.0,0762.HK,,,,,,,,,,,,,,
Operating Revenue,,372597000000.0,354944000000.0,327854000000.0,303838000000.0,0762.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,-2327877905.773037,-6381509183.317429,-9453107257.399002,-7390695039.002743,,0857.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,0.239149,0.240948,0.234109,0.275023,,0857.HK,,,,,,,,,,,,,,
Normalized EBITDA,501551000000.0,511073000000.0,487356000000.0,406121000000.0,,0857.HK,,,,,,,,,,,,,,
Total Unusual Items,-9734000000.0,-26485000000.0,-40379000000.0,-26873000000.0,,0857.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-9734000000.0,-26485000000.0,-40379000000.0,-26873000000.0,,0857.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,164676000000.0,161414000000.0,148738000000.0,92161000000.0,,0857.HK,,,,,,,,,,,,,,
Reconciled Depreciation,229584000000.0,222648000000.0,212151000000.0,201315000000.0,,0857.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,2275223000000.0,2303005000000.0,2527935000000.0,2071504000000.0,,0857.HK,,,,,,,,,,,,,,
EBITDA,491817000000.0,484588000000.0,446977000000.0,379248000000.0,,0857.HK,,,,,,,,,,,,,,
EBIT,262233000000.0,261940000000.0,234826000000.0,177933000000.0,,0857.HK,,,,,,,,,,,,,,
Net Interest Income,-12552000000.0,-17366000000.0,-17796000000.0,-17581000000.0,,0857.HK,,,,,,,,,,,,,,
Interest Expense,20731000000.0,24063000000.0,21554000000.0,19739000000.0,,0857.HK,,,,,,,,,,,,,,
Interest Income,8799000000.0,8265000000.0,4738000000.0,2984000000.0,,0857.HK,,,,,,,,,,,,,,
Normalized Income,172082122094.22696,181517490816.68256,179663892742.601,111643304960.99725,,0857.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,164676000000.0,161414000000.0,148738000000.0,92161000000.0,,0857.HK,,,,,,,,,,,,,,
Total Expenses,2672343000000.0,2724268000000.0,2925470000000.0,2423642000000.0,,0857.HK,,,,,,,,,,,,,,
Rent Expense Supplemental,,3689000000.0,3002000000.0,4165000000.0,4435000000.0,0857.HK,,,,,,,,,,,,,,
Total Operating Income As Reported,255286000000.0,253522000000.0,242564000000.0,182180000000.0,,0857.HK,,,,,,,,,,,,,,
Diluted Average Shares,182973333333.0,183425000000.0,183627160494.0,184322000000.0,,0857.HK,,,,,,,,,,,,,,
Basic Average Shares,182973333333.0,183425000000.0,183627160494.0,184322000000.0,,0857.HK,,,,,,,,,,,,,,
Diluted EPS,0.9,0.88,0.81,0.5,,0857.HK,,,,,,,,,,,,,,
Basic EPS,0.9,0.88,0.81,0.5,,0857.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,,149380000000.0,92170000000.0,19006000000.0,0857.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,164676000000.0,161414000000.0,148738000000.0,92161000000.0,,0857.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,,0857.HK,,,,,,,,,,,,,,
Net Income,164676000000.0,161414000000.0,148738000000.0,92161000000.0,,0857.HK,,,,,,,,,,,,,,
Minority Interests,-19071000000.0,-19147000000.0,-14605000000.0,-22526000000.0,,0857.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,183747000000.0,180561000000.0,163343000000.0,114687000000.0,,0857.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,183747000000.0,180561000000.0,163343000000.0,114687000000.0,,0857.HK,,,,,,,,,,,,,,
Tax Provision,57755000000.0,57316000000.0,49929000000.0,43507000000.0,,0857.HK,,,,,,,,,,,,,,
Pretax Income,241502000000.0,237877000000.0,213272000000.0,158194000000.0,,0857.HK,,,,,,,,,,,,,,
Other Income Expense,,,13433000000.0,13805000000.0,3641000000.0,0857.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,-13784000000.0,-15626000000.0,-29292000000.0,-23986000000.0,,0857.HK,,,,,,,,,,,,,,
Special Income Charges,-14407000000.0,-28493000000.0,-37915000000.0,-26873000000.0,,0857.HK,,,,,,,,,,,,,,
Other Special Charges,-613000000.0,-498000000.0,-905000000.0,-1091000000.0,,0857.HK,,,,,,,,,,,,,,
Write Off,742000000.0,35000000.0,1587000000.0,353000000.0,,0857.HK,,,,,,,,,,,,,,
Impairment Of Capital Assets,14278000000.0,28956000000.0,37233000000.0,27611000000.0,,0857.HK,,,,,,,,,,,,,,
Earnings From Equity Interest,,,15251000000.0,13267000000.0,3533000000.0,0857.HK,,,,,,,,,,,,,,
Gain On Sale Of Security,,,-1818000000.0,538000000.0,108000000.0,0857.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-12552000000.0,-17366000000.0,-17796000000.0,-17581000000.0,,0857.HK,,,,,,,,,,,,,,
Total Other Finance Cost,620000000.0,1568000000.0,980000000.0,826000000.0,,0857.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,20731000000.0,24063000000.0,21554000000.0,19739000000.0,,0857.HK,,,,,,,,,,,,,,
Interest Income Non Operating,8799000000.0,8265000000.0,4738000000.0,2984000000.0,,0857.HK,,,,,,,,,,,,,,
Operating Income,265638000000.0,288544000000.0,313697000000.0,190707000000.0,,0857.HK,,,,,,,,,,,,,,
Operating Expense,397120000000.0,421263000000.0,397535000000.0,352138000000.0,,0857.HK,,,,,,,,,,,,,,
Other Operating Expenses,266012000000.0,296482000000.0,277616000000.0,227585000000.0,,0857.HK,,,,,,,,,,,,,,
Other Taxes,,,278055000000.0,228003000000.0,195850000000.0,0857.HK,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,,21748000000.0,21518000000.0,22403000000.0,22173000000.0,0857.HK,,,,,,,,,,,,,,
Depreciation Income Statement,,21748000000.0,21518000000.0,22403000000.0,22173000000.0,0857.HK,,,,,,,,,,,,,,
Research And Development,23014000000.0,21967000000.0,20016000000.0,16729000000.0,,0857.HK,,,,,,,,,,,,,,
Selling General And Administration,128216000000.0,33014000000.0,31765000000.0,34261000000.0,,0857.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,63190000000.0,26167000000.0,26061000000.0,28289000000.0,,0857.HK,,,,,,,,,,,,,,
General And Administrative Expense,65026000000.0,6847000000.0,5704000000.0,5972000000.0,,0857.HK,,,,,,,,,,,,,,
Other Gand A,,,59529000000.0,57802000000.0,64345000000.0,0857.HK,,,,,,,,,,,,,,
Rent And Landing Fees,,3689000000.0,3002000000.0,4165000000.0,4435000000.0,0857.HK,,,,,,,,,,,,,,
Salaries And Wages,,,163073000000.0,154835000000.0,147604000000.0,0857.HK,,,,,,,,,,,,,,
Gross Profit,662758000000.0,709807000000.0,711232000000.0,542845000000.0,,0857.HK,,,,,,,,,,,,,,
Cost Of Revenue,2275223000000.0,2303005000000.0,2527935000000.0,2071504000000.0,,0857.HK,,,,,,,,,,,,,,
Total Revenue,2937981000000.0,3012812000000.0,3239167000000.0,2614349000000.0,,0857.HK,,,,,,,,,,,,,,
Operating Revenue,2937981000000.0,3012812000000.0,3239167000000.0,2614349000000.0,,0857.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-1836008.0,31982289.204972,59443309.825762,147407163.525249,0868.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.152,0.142628,0.143022,0.122652,0868.HK,,,,,,,,,,,,,,
Normalized EBITDA,,8371756000.0,7642391000.0,14773907000.0,7490877000.0,0868.HK,,,,,,,,,,,,,,
Total Unusual Items,,-12079000.0,224236000.0,415624000.0,1201830000.0,0868.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-12079000.0,224236000.0,415624000.0,1201830000.0,0868.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,5365114000.0,5127154000.0,11555887000.0,6422213000.0,0868.HK,,,,,,,,,,,,,,
Reconciled Depreciation,,1511922000.0,1495121000.0,1532750000.0,1169597000.0,0868.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,18186761000.0,17059615000.0,14681992000.0,10844444000.0,0868.HK,,,,,,,,,,,,,,
EBITDA,,8359677000.0,7866627000.0,15189531000.0,8692707000.0,0868.HK,,,,,,,,,,,,,,
EBIT,,6847755000.0,6371506000.0,13656781000.0,7523110000.0,0868.HK,,,,,,,,,,,,,,
Net Interest Income,,-306410000.0,-260690000.0,-88686000.0,-154995000.0,0868.HK,,,,,,,,,,,,,,
Interest Expense,,503407000.0,371540000.0,155060000.0,192768000.0,0868.HK,,,,,,,,,,,,,,
Interest Income,,196997000.0,110850000.0,66374000.0,37773000.0,0868.HK,,,,,,,,,,,,,,
Normalized Income,,5375356992.0,4934900289.204972,11199706309.825762,5367790163.525249,0868.HK,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,5365114000.0,5127154000.0,11555887000.0,6422213000.0,0868.HK,,,,,,,,,,,,,,
Total Expenses,,21307839000.0,20924922000.0,18340335000.0,13297051000.0,0868.HK,,,,,,,,,,,,,,
Total Operating Income As Reported,,5643357000.0,5337866000.0,12472017000.0,6360996000.0,0868.HK,,,,,,,,,,,,,,
Diluted Average Shares,,4160303000.0,4073088000.0,4076786000.0,4042206000.0,0868.HK,,,,,,,,,,,,,,
Basic Average Shares,,4152115000.0,4049255000.0,4026807000.0,4026601000.0,0868.HK,,,,,,,,,,,,,,
Diluted EPS,,1.29,1.2584,2.8341,1.5884,0868.HK,,,,,,,,,,,,,,
Basic EPS,,1.292,1.2662,2.8697,1.5949,0868.HK,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,,5364899000.0,5125544000.0,11554102000.0,6420688000.0,0868.HK,,,,,,,,,,,,,,
Average Dilution Earnings,,-215000.0,-1610000.0,-1785000.0,-1525000.0,0868.HK,,,,,,,,,,,,,,
Net Income Common Stockholders,,5365114000.0,5127154000.0,11555887000.0,6422213000.0,0868.HK,,,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,0868.HK,,,,,,,,,,,,,,
Net Income,,5365114000.0,5127154000.0,11555887000.0,6422213000.0,0868.HK,,,,,,,,,,,,,,
Minority Interests,,-13591000.0,-17050000.0,-14793000.0,-9046000.0,0868.HK,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,,5378705000.0,5144204000.0,11570680000.0,6431259000.0,0868.HK,,,,,,,,,,,,,,
Net Income Continuous Operations,,5378705000.0,5144204000.0,11570680000.0,6431259000.0,0868.HK,,,,,,,,,,,,,,
Tax Provision,,965643000.0,855762000.0,1931041000.0,899083000.0,0868.HK,,,,,,,,,,,,,,
Pretax Income,,6344348000.0,5999966000.0,13501721000.0,7330342000.0,0868.HK,,,,,,,,,,,,,,
Other Non Operating Income Expenses,,144440000.0,119762000.0,110191000.0,37192000.0,0868.HK,,,,,,,,,,,,,,
Special Income Charges,,-26959000.0,-28967000.0,88878000.0,1122080000.0,0868.HK,,,,,,,,,,,,,,
Other Special Charges,,22794000.0,22877000.0,211088000.0,-1137960000.0,0868.HK,,,,,,,,,,,,,,
Write Off,,4165000.0,6090000.0,93605000.0,15880000.0,0868.HK,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,,0.0,-393571000.0,0.0,0868.HK,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,,-306410000.0,-260690000.0,-88686000.0,-154995000.0,0868.HK,,,,,,,,,,,,,,
Interest Expense Non Operating,,503407000.0,371540000.0,155060000.0,192768000.0,0868.HK,,,,,,,,,,,,,,
Interest Income Non Operating,,196997000.0,110850000.0,66374000.0,37773000.0,0868.HK,,,,,,,,,,,,,,
Operating Income,,5490681000.0,4821068000.0,12118785000.0,5318828000.0,0868.HK,,,,,,,,,,,,,,
Operating Expense,,3121078000.0,3865307000.0,3658343000.0,2452607000.0,0868.HK,,,,,,,,,,,,,,
Selling General And Administration,,3573515000.0,4198444000.0,4008221000.0,2747516000.0,0868.HK,,,,,,,,,,,,,,
Selling And Marketing Expense,,1310293000.0,1810143000.0,1562216000.0,958661000.0,0868.HK,,,,,,,,,,,,,,
General And Administrative Expense,,2263222000.0,2388301000.0,2446005000.0,1788855000.0,0868.HK,,,,,,,,,,,,,,
Gross Profit,,8611759000.0,8686375000.0,15777128000.0,7771435000.0,0868.HK,,,,,,,,,,,,,,
Cost Of Revenue,,18186761000.0,17059615000.0,14681992000.0,10844444000.0,0868.HK,,,,,,,,,,,,,,
Total Revenue,,26798520000.0,25745990000.0,30459120000.0,18615879000.0,0868.HK,,,,,,,,,,,,,,
Operating Revenue,,26798520000.0,25745990000.0,30459120000.0,18615879000.0,0868.HK,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,-3143027.158749,30012647.370154,7611985.798163,11411448.137335,0881.HK,,,,,,,,,,,,,,
Tax Rate For Calcs,,0.269372,0.258698,0.269155,0.273217,0881.HK,,,,,,,,,,,,,,
Normalized EBITDA,,10568508000.0,12904701000.0,14969118000.0,10836515000.0,0881.HK,,,,,,,,,,,,,,
Total Unusual Items,,-11668000.0,116014000.0,28281000.0,41767000.0,0881.HK,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,-11668000.0,116014000.0,28281000.0,41767000.0,0881.HK,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,5018077000.0,6688119000.0,8328950000.0,5539799000.0,0881.HK,,,,,,,,,,,,,,
Reconciled Depreciation,,2218499000.0,2851308000.0,2373696000.0,1939601000.0,0881.HK,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,,165525773000.0,163825377000.0,156633507000.0,134866359000.0,0881.HK,,,,,,,,,,,,,,
EBITDA,,10556840000.0,13020715000.0,14997399000.0,10878282000.0,0881.HK,,,,,,,,,,,,,,
EBIT,,8338341000.0,10169407000.0,12623703000.0,8938681000.0,0881.HK,,,,,,,,,,,,,,
