"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2002","27.87","27.87","27.87","27.87","","-4.78%"
"30/09/2002","29.27","29.27","29.27","29.27","","2.16%"
"27/09/2002","28.65","28.65","28.65","28.65","","-0.69%"
"26/09/2002","28.85","28.85","28.85","28.85","","-1.03%"
"25/09/2002","29.15","29.15","29.15","29.15","","1.71%"
"24/09/2002","28.66","28.66","28.66","28.66","","2.28%"
"23/09/2002","28.02","28.02","28.02","28.02","","2.41%"
"20/09/2002","27.36","27.36","27.36","27.36","","4.71%"
"19/09/2002","26.13","26.13","26.13","26.13","","1.48%"
"18/09/2002","25.75","25.75","25.75","25.75","","1.66%"
"17/09/2002","25.33","25.33","25.33","25.33","","-2.54%"
"16/09/2002","25.99","25.99","25.99","25.99","","6.43%"
"13/09/2002","24.42","24.42","24.42","24.42","","3.17%"
"12/09/2002","23.67","23.67","23.67","23.67","","-2.75%"
"11/09/2002","24.34","24.34","24.34","24.34","","-1.74%"
"10/09/2002","24.77","24.77","24.77","24.77","","-2.44%"
"09/09/2002","25.39","25.39","25.39","25.39","","2.63%"
"06/09/2002","24.74","24.74","24.74","24.74","","-0.72%"
"05/09/2002","24.92","24.92","24.92","24.92","","1.59%"
"04/09/2002","24.53","24.53","24.53","24.53","","-1.09%"
"03/09/2002","24.80","24.80","24.80","24.80","","-1.08%"
"02/09/2002","25.07","25.07","25.07","25.07","","1.46%"
"30/08/2002","24.71","24.71","24.71","24.71","","-1.28%"
"29/08/2002","25.03","25.03","25.03","25.03","","0.76%"
"28/08/2002","24.84","24.84","24.84","24.84","","0.81%"
"27/08/2002","24.64","24.64","24.64","24.64","","1.99%"
"26/08/2002","24.16","24.16","24.16","24.16","","2.20%"
"23/08/2002","23.64","23.64","23.64","23.64","","-3.71%"
"22/08/2002","24.55","24.55","24.55","24.55","","-1.80%"
"21/08/2002","25.00","25.00","25.00","25.00","","0.36%"
"20/08/2002","24.91","24.91","24.91","24.91","","-2.16%"
"19/08/2002","25.46","25.46","25.46","25.46","","-0.08%"
"16/08/2002","25.48","25.48","25.48","25.48","","-5.17%"
"15/08/2002","26.87","26.87","26.87","26.87","","-3.90%"
"14/08/2002","27.96","27.96","27.96","27.96","","0.68%"
"13/08/2002","27.77","27.77","27.77","27.77","","-2.42%"
